Sample:float,Data:float
122333,-0.023066401
122334,-0.055449188
122335,-0.057473123
122336,-0.04263103
122337,-0.043305635
122338,-0.034535289
122339,-0.040607095
122340,-0.031162083
122341,-0.032511353
122342,-0.032511353
122343,-0.01631999
122344,-0.01631999
122345,-0.01227212
122346,-0.010248184
122347,0.003244638
122348,0.005268574
122349,0.007967114
122350,0.022134602
122351,0.025507808
122352,0.029555678
122353,0.028206408
122354,0.047096372
122355,0.047771037
122356,0.050469577
122357,0.057215989
122358,0.064637065
122359,0.066661
122360,0.066661
122361,0.081503093
122362,0.080153823
122363,0.080828488
122364,0.078804553
122365,0.088249505
122366,0.087574899
122367,0.087574899
122368,0.096345246
122369,0.094321311
122370,0.093646646
122371,0.084876299
122372,0.099718451
122373,0.096345246
122374,0.09297204
122375,0.101742387
122376,0.099718451
122377,0.097694516
122378,0.093646646
122379,0.103766263
122380,0.099718451
122381,0.098369181
122382,0.098369181
122383,0.099043787
122384,0.096345246
122385,0.088249505
122386,0.101067722
122387,0.094995975
122388,0.090948105
122389,0.09027344
122390,0.09162271
122391,0.087574899
122392,0.082852364
122393,0.093646646
122394,0.088249505
122395,0.086900234
122396,0.082177758
122397,0.089598835
122398,0.085550964
122399,0.082852364
122400,0.103091657
122401,0.097694516
122402,0.094995975
122403,0.090948105
122404,0.095670581
122405,0.09297204
122406,0.086900234
122407,0.094321311
122408,0.089598835
122409,0.086225629
122410,0.079479158
122411,0.090948105
122412,0.083527029
122413,0.082852364
122414,0.088249505
122415,0.086225629
122416,0.084876299
122417,0.077455282
122418,0.09162271
122419,0.087574899
122420,0.087574899
122421,0.082852364
122422,0.090948105
122423,0.088249505
122424,0.084201694
122425,0.094995975
122426,0.09027344
122427,0.08892417
122428,0.076780617
122429,0.094321311
122430,0.089598835
122431,0.085550964
122432,0.092297375
122433,0.09027344
122434,0.028881013
122435,0.046421707
122436,0.047096372
122437,0.051144242
122438,0.060589194
122439,0.0639624
122440,0.065986335
122441,0.0639624
122442,0.081503093
122443,0.078804553
122444,0.078804553
122445,0.082177758
122446,0.087574899
122447,0.086900234
122448,0.083527029
122449,0.095670581
122450,0.092297375
122451,0.09162271
122452,0.08892417
122453,0.098369181
122454,0.094321311
122455,0.092297375
122456,0.099718451
122457,0.097694516
122458,0.095670581
122459,0.09027344
122460,0.103091657
122461,0.099043787
122462,0.097694516
122463,0.098369181
122464,0.096345246
122465,0.086900234
122466,0.09162271
122467,0.103091657
122468,0.094995975
122469,0.089598835
122470,0.08892417
122471,0.094995975
122472,0.089598835
122473,0.084201694
122474,0.094995975
122475,0.08892417
122476,0.086900234
122477,0.081503093
122478,0.090948105
122479,0.086900234
122480,0.085550964
122481,0.092297375
122482,0.08892417
122483,0.08892417
122484,0.082177758
122485,0.094995975
122486,0.09027344
122487,0.08892417
122488,0.092297375
122489,0.092297375
122490,0.090948105
122491,0.085550964
122492,0.097694516
122493,0.09297204
122494,0.089598835
122495,0.089598835
122496,0.09297204
122497,0.089598835
122498,0.084201694
122499,0.097694516
122500,0.09027344
122501,0.089598835
122502,0.08892417
122503,0.090948105
122504,0.088249505
122505,0.082177758
122506,0.094995975
122507,0.088249505
122508,0.09027344
122509,0.082177758
122510,0.09162271
122511,0.083527029
122512,0.076780617
122513,0.088249505
122514,0.082177758
122515,0.079479158
122516,0.072058141
122517,0.081503093
122518,0.075431347
122519,0.069359541
122520,0.076105952
122521,0.070034206
122522,0.06531173
122523,0.057215989
122524,0.066661
122525,0.057890654
122526,0.053168118
122527,0.053168118
122528,0.048445642
122529,0.043723166
122530,0.032928884
122531,0.043048501
122532,0.033603549
122533,0.028881013
122534,0.025507808
122535,0.025507808
122536,0.018086791
122537,0.010665715
122538,0.019436061
122539,0.009316444
122540,-0.002152503
122541,-0.002827108
122542,-0.002152503
