Sample:float,Data:float
129200,1.551513672
129201,1.551513672
129202,1.551513672
129203,1.551513672
129204,1.551513672
129205,1.551513672
129206,1.551513672
129207,1.551513672
129208,1.551513672
129209,1.551513672
129210,1.551513672
129211,1.551513672
129212,1.551513672
129213,1.551513672
129214,1.551513672
129215,1.551513672
129216,1.551513672
129217,1.551513672
129218,1.551513672
129219,1.551513672
129220,1.551513672
129221,1.551513672
129222,1.551513672
129223,1.551513672
129224,1.551513672
129225,1.551513672
129226,1.551513672
129227,1.551513672
129228,1.551513672
129229,1.551513672
129230,1.551513672
129231,1.551513672
129232,1.551513672
129233,1.551513672
129234,1.551513672
129235,1.551513672
129236,1.551513672
129237,1.551513672
129238,1.551513672
129239,1.551513672
129240,1.551513672
129241,1.551513672
129242,1.551513672
129243,1.551513672
129244,1.551513672
129245,1.551513672
129246,1.551513672
129247,1.551513672
129248,1.551513672
129249,1.551513672
129250,1.551513672
129251,1.551513672
129252,1.551513672
129253,1.551513672
129254,1.551513672
129255,1.551513672
129256,1.551513672
129257,1.551513672
129258,1.551513672
129259,1.551513672
129260,1.551513672
129261,1.551513672
129262,1.551513672
129263,1.551513672
129264,1.551513672
129265,1.551513672
129266,1.551513672
129267,1.551513672
129268,1.551513672
129269,1.551513672
129270,1.551513672
129271,1.551513672
129272,1.551513672
129273,1.551513672
129274,1.551513672
129275,1.551513672
129276,1.551513672
129277,1.551513672
129278,1.551513672
129279,1.551513672
129280,1.551513672
129281,1.551513672
129282,1.551513672
129283,1.551513672
129284,1.551513672
129285,1.551513672
129286,1.551513672
129287,1.551513672
129288,1.551513672
129289,1.551513672
129290,1.551513672
129291,1.551513672
129292,1.551513672
129293,1.551513672
129294,1.551513672
129295,1.551513672
129296,1.551513672
129297,1.551513672
129298,1.551513672
129299,1.551513672
129300,1.551513672
129301,1.551513672
129302,1.551513672
129303,1.551513672
129304,1.551513672
129305,1.551513672
129306,1.551513672
129307,1.551513672
129308,1.551513672
129309,1.551513672
129310,1.551513672
129311,1.551513672
129312,1.551513672
129313,1.551513672
129314,1.551513672
129315,1.551513672
129316,1.551513672
129317,1.551513672
129318,1.551513672
129319,1.551513672
129320,1.551513672
129321,1.551513672
129322,1.551513672
129323,1.551513672
129324,1.551513672
129325,1.551513672
129326,1.551513672
129327,1.551513672
129328,1.551513672
129329,1.551513672
129330,1.551513672
129331,1.551513672
129332,1.551513672
129333,1.551513672
129334,1.551513672
129335,1.551513672
129336,1.551513672
129337,1.551513672
129338,1.551513672
129339,1.551513672
129340,1.551513672
129341,1.551513672
129342,1.551513672
129343,1.551513672
129344,1.551513672
129345,1.551513672
129346,1.551513672
129347,1.551513672
129348,1.551513672
129349,1.551513672
129350,1.551513672
129351,1.551513672
129352,1.551513672
129353,1.551513672
129354,1.551513672
129355,1.551513672
129356,1.551513672
129357,1.551513672
129358,1.551513672
129359,1.551513672
129360,1.551513672
129361,1.551513672
129362,1.551513672
129363,1.551513672
129364,1.551513672
129365,1.551513672
129366,1.551513672
129367,1.551513672
129368,1.551513672
129369,1.551513672
129370,1.551513672
129371,1.551513672
129372,1.551513672
129373,1.551513672
129374,1.551513672
129375,1.551513672
129376,1.551513672
129377,1.551513672
129378,1.551513672
129379,1.551513672
129380,1.551513672
129381,1.551513672
129382,1.551513672
129383,1.551513672
129384,1.551513672
129385,1.551513672
129386,1.551513672
129387,1.551513672
129388,1.551513672
129389,1.551513672
129390,1.551513672
129391,1.551513672
129392,1.551513672
129393,1.551513672
129394,1.551513672
129395,1.551513672
129396,1.551513672
129397,1.551513672
129398,1.551513672
129399,1.551513672
129400,1.551513672
129401,1.551513672
129402,1.551513672
129403,1.551513672
129404,1.551513672
129405,1.551513672
129406,1.551513672
129407,1.551513672
129408,1.551513672
129409,1.551513672
129410,1.551513672
129411,1.551513672
129412,1.551513672
129413,1.551513672
129414,1.551513672
129415,1.551513672
129416,1.551513672
129417,1.551513672
129418,1.551513672
129419,1.551513672
129420,1.551513672
129421,1.551513672
129422,1.551513672
129423,1.551513672
129424,1.551513672
129425,1.551513672
129426,1.551513672
129427,1.551513672
129428,1.551513672
129429,1.551513672
129430,1.551513672
129431,1.551513672
129432,1.551513672
129433,1.551513672
129434,1.551513672
129435,1.551513672
129436,1.551513672
129437,1.551513672
129438,1.551513672
129439,1.551513672
129440,1.551513672
129441,1.551513672
129442,1.551513672
129443,1.551513672
129444,1.551513672
129445,1.551513672
129446,1.551513672
129447,1.551513672
129448,1.551513672
129449,1.551513672
129450,1.551513672
129451,1.551513672
129452,1.551513672
129453,1.551513672
129454,1.551513672
129455,1.551513672
129456,1.551513672
129457,1.551513672
129458,1.551513672
129459,1.551513672
129460,1.551513672
