Sample:float,Data:float
122297,-0.308631897
122298,-0.402381897
122299,-0.527381897
122300,-0.699256897
122301,-0.793006897
122302,-0.902381897
122303,-1.105506897
122304,-1.214881897
122305,-1.339881897
122306,-1.449256897
122307,-1.621131897
122308,-1.699256897
122309,-1.793006897
122310,-1.902381897
122311,-2.058631897
122312,-2.089881897
122313,-2.168006897
122314,-2.308631897
122315,-2.371131897
122316,-2.402381897
122317,-2.449256897
122318,-2.558631897
122319,-2.543006897
122320,-2.574256897
122321,2.394493103
122322,2.331993103
122323,2.300743103
122324,2.238243103
122325,2.206993103
122326,2.081993103
122327,2.316368103
122328,2.066368103
122329,2.035118103
122330,1.847618103
122331,1.941368103
122332,1.894493103
122333,1.785118103
122334,1.738243103
122335,1.706993103
122336,1.628868103
122337,1.519493103
122338,1.488243103
122339,1.456993103
122340,1.300743103
122341,1.285118103
122342,1.238243103
122343,1.175743103
122344,1.050743103
122345,1.003868103
122346,0.910118103
122347,0.785118103
122348,0.738243103
122349,0.644493103
122350,0.581993103
122351,0.425743103
122352,0.347618103
122353,0.253868103
122354,0.160118103
122355,0.019493103
122356,0.019493103
122357,-0.027381897
122358,-0.136756897
122359,-0.230506897
122360,-0.293006897
122361,-0.355506897
122362,-0.511756897
122363,-0.605506897
122364,-0.714881897
122365,-0.855506897
122366,-1.043006897
122367,-1.121131897
122368,-1.246131897
122369,-1.402381897
122370,-1.558631897
122371,-1.605506897
122372,-1.714881897
122373,-1.886756897
122374,-1.949256897
122375,-2.011756897
122376,-2.121131897
122377,-2.246131897
122378,-2.308631897
122379,-2.324256897
122380,-2.418006897
122381,-2.480506897
122382,-2.511756897
122383,-2.527381897
122384,-2.621131897
122385,-2.605506897
122386,-2.621131897
122387,-2.668006897
122388,-2.714881897
122389,-2.683631897
122390,-2.683631897
122391,-2.761756897
122392,-2.730506897
122393,-2.730506897
122394,-2.746131897
122395,-2.793006897
122396,-2.730506897
122397,-2.714881897
122398,-2.761756897
122399,-2.777381897
122400,2.769493103
122401,2.769493103
122402,2.785118103
122403,2.706993103
122404,2.722618103
122405,2.738243103
122406,2.706993103
122407,2.660118103
122408,2.675743103
122409,2.675743103
122410,2.628868103
122411,2.566368103
122412,2.597618103
122413,2.613243103
122414,2.550743103
122415,2.535118103
122416,2.519493103
122417,2.519493103
122418,2.456993103
122419,2.472618103
122420,2.441368103
122421,2.394493103
122422,2.331993103
122423,2.331993103
122424,2.363243103
122425,2.206993103
122426,2.238243103
122427,2.206993103
122428,2.144493103
122429,2.066368103
122430,2.035118103
122431,1.988243103
122432,1.910118103
122433,1.800743103
122434,1.816368103
122435,1.769493103
122436,1.675743103
122437,1.597618103
122438,1.535118103
122439,1.472618103
122440,1.363243103
122441,1.316368103
122442,1.269493103
122443,1.191368103
122444,1.050743103
122445,1.035118103
122446,0.972618103
122447,0.847618103
122448,0.769493103
122449,0.691368103
122450,0.628868103
122451,0.488243103
122452,0.425743103
122453,0.331993103
122454,0.206993103
122455,0.066368103
122456,0.066368103
122457,0.035118103
122458,-0.058631897
122459,-0.230506897
122460,-0.246131897
122461,-0.308631897
122462,-0.449256897
122463,-0.511756897
122464,-0.621131897
122465,-0.761756897
122466,-0.949256897
122467,-1.011756897
122468,-1.152381897
